,Feature,SHAP Importance
904,Model_1082,17.071511772038672
114,Brand_16,16.926990798772255
248,Model_96,16.625479112603283
656,Model_558,16.55680942887796
128,Brand_43,16.545186179925683
117,Brand_19,15.816350129663387
733,Model_697,15.41291088432459
149,Brand_81,15.387275031219666
28,Region_11,15.366361177602862
218,Model_66,15.133074662033138
312,Model_167,15.1293451695318
92,Color_90,14.744294790471255
634,Model_532,14.632335203152508
203,Model_49,14.525221471150052
540,Model_418,14.506505874069523
814,Model_867,14.471104418860342
562,Model_444,14.315049373307746
180,Model_26,14.118553639925782
515,Model_392,13.173743054775152
126,Brand_40,12.90093937641583
163,Model_8,12.88480551599197
653,Model_554,12.746485037240719
583,Model_469,12.546685769946675
143,Brand_70,12.321082249508448
254,Model_102,11.527432491945381
154,Brand_87,11.191821485367447
494,Model_368,11.06071217943171
791,Model_826,10.957685187003467
776,Model_795,10.951578330011664
127,Brand_42,10.822238154671377
458,Model_327,10.718994840168087
378,Model_238,10.32010514967836
599,Model_490,10.266476511444754
187,Model_33,10.248859859134292
655,Model_557,9.998416174618088
303,Model_158,9.993236285388045
175,Model_21,9.928462778428463
237,Model_85,9.359168758938495
211,Model_57,9.358767629568053
135,Brand_57,9.232298807722799
116,Brand_18,9.169248562827171
404,Model_267,9.106886727419928
158,Model_3,9.08815882946821
724,Model_687,9.000771363899432
636,Model_534,8.96159894138728
75,Color_21,8.946625289325146
544,Model_422,8.856542860856564
718,Model_680,8.650082982249279
548,Model_426,8.543792936242202
380,Model_240,8.454009223975007
975,Category_5,8.365520784276416
278,Model_129,8.337102571506104
308,Model_163,8.26920035466647
401,Model_264,8.008303506994508
239,Model_87,7.751424154995865
90,Color_80,7.6414630747783026
134,Brand_55,7.422300115713423
551,Model_431,7.0948628707684875
185,Model_31,6.952777649566785
350,Model_209,6.756980459247417
893,Model_1067,6.708002721002469
160,Model_5,6.516426278529535
129,Brand_44,6.397486693259324
970,Model_1275,6.122393491296127
171,Model_17,6.090675906895309
107,Color_200,5.961210133096485
224,Model_72,5.9593553786826465
651,Model_552,5.9524064804616525
575,Model_459,5.937094316304966
428,Model_294,5.808265061880912
480,Model_350,5.795696221313631
332,Model_189,5.609355918165677
338,Model_195,5.5904664413065825
892,Model_1065,5.458545193448958
374,Model_234,5.404557318357951
619,Model_515,5.391321563604215
435,Model_303,5.382979435507031
132,Brand_47,5.362132354467697
304,Model_159,5.255037985971387
94,Color_92,5.170205728517895
452,Model_321,5.162392327421655
281,Model_132,5.149302264411504
495,Model_369,5.120957088164898
186,Model_32,5.106312599478221
531,Model_409,4.936348933691325
343,Model_200,4.893585573886373
365,Model_225,4.886122213908287
96,Color_110,4.80260882253817
234,Model_82,4.781432045949744
451,Model_320,4.752997880557716
196,Model_42,4.643693372450973
569,Model_452,4.548820912193351
593,Model_480,4.381873632020072
356,Model_215,4.346489174561883
587,Model_473,4.311721324129777
314,Model_169,4.247683801752461
86,Color_70,4.220979318965661
556,Model_436,4.09500083042684
631,Model_528,4.05580513492635
439,Model_307,4.019370549888048
936,Model_1194,4.016606000093426
182,Model_28,3.819180483298699
438,Model_306,3.76518092979545
261,Model_109,3.6827533919742397
440,Model_308,3.5576887405229853
874,Model_1014,3.094359381302346
601,Model_493,3.0748926341408307
637,Model_535,2.9349435723514485
122,Brand_29,2.8985616167482324
331,Model_188,2.6976813586899517
367,Model_227,2.600443356373286
300,Model_155,2.5435060641564764
291,Model_146,2.5177543483846465
594,Model_481,2.3620434608098697
503,Model_379,2.216986117436629
696,Model_653,2.179516437275508
553,Model_433,2.1437730381869673
151,Brand_84,1.858601801589174
388,Model_248,1.527645645235834
118,Brand_20,1.4281215492627133
397,Model_259,1.3412146831170688
486,Model_356,1.1289950305883347
418,Model_282,0.8357015841503012
172,Model_18,0.805097090737974
30,Region_13,0.6333526926590273
483,Model_353,0.6228729827548029
362,Model_222,0.47269426797874076
702,Model_660,0.3181776481457061
783,Model_810,0.0
779,Model_806,0.0
780,Model_807,0.0
781,Model_808,0.0
674,Model_595,0.0
673,Model_593,0.0
672,Model_590,0.0
782,Model_809,0.0
688,Model_632,0.0
777,Model_796,0.0
784,Model_811,0.0
671,Model_588,0.0
785,Model_812,0.0
786,Model_813,0.0
787,Model_814,0.0
788,Model_815,0.0
789,Model_820,0.0
790,Model_825,0.0
177,Model_23,0.0
178,Model_24,0.0
792,Model_827,0.0
767,Model_775,0.0
761,Model_760,0.0
762,Model_761,0.0
763,Model_764,0.0
676,Model_599,0.0
764,Model_767,0.0
765,Model_768,0.0
766,Model_771,0.0
768,Model_780,0.0
775,Model_793,0.0
769,Model_781,0.0
770,Model_782,0.0
675,Model_596,0.0
771,Model_784,0.0
772,Model_789,0.0
773,Model_790,0.0
774,Model_791,0.0
173,Model_19,0.0
794,Model_830,0.0
793,Model_829,0.0
667,Model_577,0.0
167,Model_13,0.0
815,Model_872,0.0
816,Model_873,0.0
817,Model_874,0.0
818,Model_877,0.0
819,Model_878,0.0
668,Model_582,0.0
820,Model_880,0.0
812,Model_864,0.0
166,Model_11,0.0
822,Model_885,0.0
199,Model_45,0.0
823,Model_887,0.0
824,Model_891,0.0
825,Model_893,0.0
826,Model_901,0.0
813,Model_866,0.0
811,Model_861,0.0
759,Model_758,0.0
802,Model_840,0.0
795,Model_831,0.0
670,Model_585,0.0
797,Model_833,0.0
798,Model_834,0.0
170,Model_16,0.0
800,Model_837,0.0
169,Model_15,0.0
803,Model_842,0.0
810,Model_857,0.0
804,Model_849,0.0
669,Model_584,0.0
805,Model_850,0.0
806,Model_852,0.0
807,Model_853,0.0
808,Model_854,0.0
809,Model_856,0.0
760,Model_759,0.0
758,Model_757,0.0
677,Model_601,0.0
715,Model_676,0.0
708,Model_667,0.0
709,Model_668,0.0
710,Model_670,0.0
711,Model_671,0.0
712,Model_672,0.0
713,Model_673,0.0
714,Model_674,0.0
73,Color_11,0.0
706,Model_664,0.0
717,Model_679,0.0
198,Model_44,0.0
719,Model_681,0.0
683,Model_617,0.0
720,Model_682,0.0
721,Model_683,0.0
722,Model_684,0.0
707,Model_665,0.0
705,Model_663,0.0
195,Model_41,0.0
686,Model_629,0.0
690,Model_639,0.0
687,Model_631,0.0
691,Model_644,0.0
692,Model_649,0.0
693,Model_650,0.0
694,Model_651,0.0
695,Model_652,0.0
685,Model_625,0.0
684,Model_620,0.0
697,Model_654,0.0
698,Model_655,0.0
699,Model_657,0.0
700,Model_658,0.0
701,Model_659,0.0
703,Model_661,0.0
704,Model_662,0.0
197,Model_43,0.0
682,Model_614,0.0
689,Model_635,0.0
