ad_id,region_id,ad_price,numpictures,proseller,adoldness,mileage,clime_id,shifter,person_capacity,doorsnumber,color,brand_id,model_id,ccm,highlighted,antiguedad,category_id,msrp,car_type_id,weight,fuel_tank,boot_capacity,fuel,environmental_id,cylinders,drive_id,consump_mixed,top_speed,acceleration,torque,power
15284301,2,0,12,1,66,68765,2,14,5,5,190,44,256,998,0,2869,7,3274000.0,6,895.0,35.0,200.0,0,5,3.0,1,4.2,153.0,14.4,95.0,69.0
15565834,10,1975000,12,1,38,72000,2,14,5,5,0,44,256,998,0,2938,7,3274000.0,6,895.0,35.0,200.0,0,5,3.0,1,4.2,153.0,14.4,95.0,69.0
15284331,6,1799000,12,1,32,199200,5,25,5,5,22,98,305,1798,1,4208,6,9516000.0,9,1481.0,70.0,513.0,0,4,4.0,1,8.4,212.0,9.0,250.0,160.0
15284347,16,0,12,1,65,48900,2,14,5,5,81,39,332,1248,0,679,4,4114000.0,6,1040.0,45.0,326.0,0,6,4.0,1,5.2,170.0,13.1,121.0,84.0
15284368,16,0,12,1,65,63970,2,15,5,4,40,29,430,1368,0,1378,1,4390000.0,12,1150.0,45.0,520.0,0,6,4.0,1,5.7,185.0,11.5,127.0,95.0
15284513,3,982000,6,1,67,350460,5,14,5,5,131,31,18,1560,0,3113,1,5205000.0,6,1352.0,55.0,385.0,3,4,4.0,1,4.7,179.0,12.9,215.0,90.0
15347502,4,1990000,12,1,91,19263,4,14,5,5,0,31,18,1560,0,3616,1,5205000.0,6,1352.0,55.0,385.0,3,4,4.0,1,4.7,179.0,12.9,215.0,90.0
15409987,16,1280000,6,0,40,289000,5,14,5,5,0,31,18,1560,0,43868,1,5205000.0,6,1352.0,55.0,385.0,3,4,4.0,1,4.7,179.0,12.9,215.0,90.0
15284761,3,1898000,8,1,32,26000,2,14,5,5,23,87,291,996,1,3416,7,2874000.0,6,975.0,45.0,178.0,0,5,3.0,1,5.1,160.0,14.7,90.0,65.0
15284762,3,1599000,7,0,71,139000,2,15,5,3,0,44,345,1582,0,43836,1,4689000.0,6,1342.0,53.0,340.0,3,5,4.0,1,3.9,172.0,14.0,235.0,90.0
15380407,17,1500000,11,1,46,120000,2,15,5,3,190,44,345,1582,0,3015,1,4689000.0,6,1342.0,53.0,340.0,3,5,4.0,1,3.9,172.0,14.0,235.0,90.0
15567597,4,1490000,6,1,4,68650,2,15,5,3,0,44,345,1582,0,3243,1,4689000.0,6,1342.0,53.0,340.0,3,5,4.0,1,3.9,172.0,14.0,235.0,90.0
15284842,4,5200000,9,1,119,68000,5,15,5,5,40,83,267,1390,0,2838,3,7025870.0,6,1425.0,60.0,565.0,0,5,4.0,1,6.8,201.0,10.5,200.0,125.0
15363669,12,2250000,4,0,11,240321,5,15,5,5,22,83,267,1390,1,3986,3,7025870.0,6,1425.0,60.0,565.0,0,5,4.0,1,6.8,201.0,10.5,200.0,125.0
15537547,9,2549000,12,1,11,176204,5,15,5,5,131,83,267,1390,0,4086,3,7025870.0,6,1425.0,60.0,565.0,0,5,4.0,1,6.8,201.0,10.5,200.0,125.0
15577388,2,2550000,10,1,1,159814,3,15,5,5,130,83,267,1390,0,3823,3,7025870.0,6,1425.0,60.0,565.0,0,5,4.0,1,6.8,201.0,10.5,200.0,125.0
